short_id,iButton_reg_number,sensorModelName,Deploy date,Deploy hour,Date Removed,Site,UTM Esting,UTM Northing,Data Download dates,Notes
A841,A80000003C660741,DS1922L - Thermochron8k,1/15/2016,10:35,8/23/2017,Weimar Creek 1 High,526301,4270962,"8/13/16, 2/12/2016",
3641,360000003C74F941,DS1922L - Thermochron8k,1/15/2016,10:35,10/8/2108,Weimar Creek 1 Low ,526301,4270962,"8/11/16, 2/12/2016",sensor pulled and data gap exists between 8/11/16 - 8/13/2016. Sensor lost in fire.
4741,470000003C650F41,DS1922L - Thermochron8k,1/15/2016,12:00,NA,Martin Creek 1 High,525313,4271081,2/12/2016,
A741,A70000003C6D1841,DS1922L - Thermochron8k,1/15/2016,12:00,NA,Martin Creek 1 Low,525313,4271081,2/12/2016,
D041,D00000002BE96F41,DS1922L - Thermochron8k,8/23/2017,NA,NA,Martin Creek 1 High-b,525313,4271081,,
1641, 160000002BEEE341,DS1922L - Thermochron8k,8/23/2017,NA,NA,Martin Creek 1 Low-b,525313,4271081,,
4E41,4E0000003C696A41,DS1922L - Thermochron8k,1/15/2016,12:50,NA,Rogers Creek 1 High,525153,4269953,2/12/2016,
AC41,AC0000003C71E741,DS1922L - Thermochron8k,1/15/2016,12:50,NA,Rogers Creek 1 Low,525153,4269953,2/12/2016,
,,DS1922L - Thermochron8k,8/23/2017,NA,10/8/2018,Weimar Creek 1 High-b,526301,4270962,,sensor lost in fire
,,DS1922L - Thermochron8k,8/23/2017,NA,10/8/2018,Weimar Creek 1 High-c,526301,4270962,,sensor lost in fire
,,DS1922L - Thermochron8k,8/23/2017,NA,10/8/2018,Weimar Creek 1 Low-b,526301,4270962,,sensor lost in fire
DF41,DF0000003C76DD41,DS1922L - Thermochron8k,1/12/2018,18:00,NA,Weimar Creek 2 High,526257,4270930,,
2541,250000003C6F9D41,DS1922L - Thermochron8k,1/12/2018,18:00,NA,Weimar Creek 2 High,526257,4270930,,
6641,660000003C681641,DS1922L - Thermochron8k,1/12/2018,18:00,NA,Weimar Creek 2 Mid,526260,4270928,,
AD41,AD0000002BE0B241,DS1922L - Thermochron8k,1/12/2018,18:00,NA,Weimar Creek 2 Mid,526260,4270928,,
9C41,9C0000002BEE1841,DS1922L - Thermochron8k,1/12/2018,18:00,NA,Weimar Creek 2 Low,526262,4270926,,sensor needs to be hammered down - water was too deep
8541,850000002BEC7B41,DS1922L - Thermochron8k,1/12/2018,18:00,NA,Weimar Creek 2 Low,526262,4270926,,
B641,B60000002BEE6E41,DS1922L - Thermochron8k,6/4/2018,11:00,,Rogers Creek 1 High-b,525153,4269953,,
A841-2,A80000002BEE8F41,DS1922L - Thermochron8k,6/4/2018,10:30,,Rogers Creek 1 Low-b,525153,4269953,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
